pocket,displacement,tanimoto,recall,error
complex_000069,1.0,0.6666666666666666,0.6666666666666666,
complex_000069,1.0,0.6875,0.7333333333333333,
complex_000069,1.0,0.7222222222222222,0.8666666666666667,
complex_000069,1.0,0.5,0.5333333333333333,
complex_000069,1.0,0.375,0.4,
complex_000069,1.0,0.625,0.6666666666666666,
complex_000069,1.0,0.625,0.6666666666666666,
complex_000069,1.0,0.5882352941176471,0.6666666666666666,
complex_000069,1.0,0.75,0.8,
complex_000069,1.0,0.625,0.6666666666666666,
complex_000069,1.0,0.75,0.8,
complex_000069,1.0,0.75,0.8,
complex_000069,2.0,0.47058823529411764,0.5333333333333333,
complex_000069,2.0,0.5,0.6666666666666666,
complex_000069,2.0,0.5882352941176471,0.6666666666666666,
complex_000069,2.0,0.5294117647058824,0.6,
complex_000069,2.0,0.4117647058823529,0.4666666666666667,
complex_000069,2.0,0.5238095238095238,0.7333333333333333,
complex_000069,2.0,0.4444444444444444,0.5333333333333333,
complex_000069,2.0,0.7058823529411765,0.8,
complex_000069,2.0,0.3333333333333333,0.4,
complex_000069,2.0,0.5294117647058824,0.6,
complex_000069,2.0,0.3333333333333333,0.4,
complex_000069,2.0,0.47058823529411764,0.5333333333333333,
complex_000069,3.0,0.25,0.26666666666666666,
complex_000069,3.0,0.47368421052631576,0.6,
complex_000069,3.0,0.4090909090909091,0.6,
complex_000069,3.0,0.47368421052631576,0.6,
complex_000069,3.0,0.5,0.5333333333333333,
complex_000069,3.0,0.3333333333333333,0.4,
complex_000069,3.0,0.47619047619047616,0.6666666666666666,
complex_000069,3.0,0.36363636363636365,0.5333333333333333,
complex_000069,3.0,0.35,0.4666666666666667,
complex_000069,3.0,0.55,0.7333333333333333,
complex_000069,3.0,0.25,0.26666666666666666,
complex_000069,3.0,0.4,0.5333333333333333,
complex_000085,0.5,0.5555555555555556,0.7142857142857143,
complex_000085,0.5,0.7058823529411765,0.8571428571428571,
complex_000085,0.5,0.6111111111111112,0.7857142857142857,
complex_000085,0.5,0.6666666666666666,0.8571428571428571,
complex_000085,0.5,0.75,0.8571428571428571,
complex_000085,0.5,0.47058823529411764,0.5714285714285714,
complex_000085,0.5,0.8125,0.9285714285714286,
complex_000085,0.5,0.75,0.8571428571428571,
complex_000085,0.5,0.6111111111111112,0.7857142857142857,
complex_000085,0.5,0.75,0.8571428571428571,
complex_000085,0.5,0.5,0.6428571428571429,
complex_000085,0.5,0.75,0.8571428571428571,
complex_000085,1.0,0.5,0.5714285714285714,
complex_000085,1.0,0.5882352941176471,0.7142857142857143,
complex_000085,1.0,0.5263157894736842,0.7142857142857143,
complex_000085,1.0,0.47058823529411764,0.5714285714285714,
complex_000085,1.0,0.36363636363636365,0.5714285714285714,
complex_000085,1.0,0.3888888888888889,0.5,
complex_000085,1.0,0.45,0.6428571428571429,
complex_000085,1.0,0.5294117647058824,0.6428571428571429,
complex_000085,1.0,0.5,0.7142857142857143,
complex_000085,1.0,0.47058823529411764,0.5714285714285714,
complex_000085,1.0,0.42857142857142855,0.6428571428571429,
complex_000085,1.0,0.4,0.5714285714285714,
complex_000085,2.0,0.38095238095238093,0.5714285714285714,
complex_000085,2.0,0.3888888888888889,0.5,
complex_000085,2.0,0.35,0.5,
complex_000085,2.0,0.5,0.6428571428571429,
complex_000085,2.0,0.4117647058823529,0.5,
complex_000085,2.0,0.2916666666666667,0.5,
complex_000085,2.0,0.45,0.6428571428571429,
complex_000085,2.0,0.55,0.7857142857142857,
complex_000085,2.0,0.3333333333333333,0.5,
complex_000085,2.0,0.2727272727272727,0.42857142857142855,
complex_000085,2.0,0.15,0.21428571428571427,
complex_000085,2.0,0.25,0.42857142857142855,
complex_000085,3.0,0.3333333333333333,0.42857142857142855,
complex_000085,3.0,0.3333333333333333,0.42857142857142855,
complex_000085,3.0,0.3181818181818182,0.5,
complex_000085,3.0,0.17391304347826086,0.2857142857142857,
complex_000085,3.0,0.32,0.5714285714285714,
complex_000085,3.0,0.3333333333333333,0.5,
complex_000085,3.0,0.3684210526315789,0.5,
complex_000085,3.0,0.3333333333333333,0.5,
complex_000085,3.0,0.23809523809523808,0.35714285714285715,
complex_000085,3.0,0.3181818181818182,0.5,
complex_000085,3.0,0.24,0.42857142857142855,
complex_000085,3.0,0.2692307692307692,0.5,
complex_000112,0.5,0.5882352941176471,0.6666666666666666,
complex_000112,0.5,0.8235294117647058,0.9333333333333333,
complex_000112,0.5,0.4375,0.4666666666666667,
complex_000112,0.5,0.625,0.6666666666666666,
complex_000112,0.5,0.6666666666666666,0.6666666666666666,
complex_000112,0.5,0.6470588235294118,0.7333333333333333,
complex_000112,0.5,0.8,0.8,
complex_000112,0.5,0.7333333333333333,0.7333333333333333,
complex_000112,0.5,0.8666666666666667,0.8666666666666667,
complex_000112,0.5,0.6666666666666666,0.6666666666666666,
complex_000112,0.5,0.7058823529411765,0.8,
complex_000112,0.5,0.7058823529411765,0.8,
complex_000112,1.0,0.5333333333333333,0.5333333333333333,
complex_000112,1.0,0.4117647058823529,0.4666666666666667,
complex_000112,1.0,0.6842105263157895,0.8666666666666667,
complex_000112,1.0,0.6842105263157895,0.8666666666666667,
complex_000112,1.0,0.6,0.6,
complex_000112,1.0,0.6,0.6,
complex_000112,1.0,0.35294117647058826,0.4,
complex_000112,1.0,0.8125,0.8666666666666667,
complex_000112,1.0,0.6666666666666666,0.6666666666666666,
