pocket,tanimoto,recall,error
complex_000069,0.3,0.4,
complex_000069,0.2,0.2,
complex_000069,0.4444444444444444,0.5333333333333333,
complex_000069,0.13333333333333333,0.13333333333333333,
complex_000069,0.4444444444444444,0.5333333333333333,
complex_000069,0.4444444444444444,0.5333333333333333,
complex_000069,0.5333333333333333,0.5333333333333333,
complex_000069,0.17391304347826086,0.26666666666666666,
complex_000069,0.6111111111111112,0.7333333333333333,
complex_000069,0.3157894736842105,0.4,
complex_000069,0.11764705882352941,0.13333333333333333,
complex_000069,0.15789473684210525,0.2,
complex_000069,0.375,0.4,
complex_000069,0.5,0.6666666666666666,
complex_000069,0.375,0.4,
complex_000069,0.35294117647058826,0.4,
complex_000069,0.4117647058823529,0.4666666666666667,
complex_000069,0.125,0.13333333333333333,
complex_000069,0.29411764705882354,0.3333333333333333,
complex_000069,0.4444444444444444,0.5333333333333333,
complex_000069,0.3333333333333333,0.4666666666666667,
complex_000069,0.5882352941176471,0.6666666666666666,
complex_000069,0.4666666666666667,0.4666666666666667,
complex_000069,0.23529411764705882,0.26666666666666666,
complex_000069,0.5,0.5333333333333333,
complex_000069,0.2727272727272727,0.4,
complex_000069,0.1875,0.2,
complex_000069,0.3125,0.3333333333333333,
complex_000069,0.6111111111111112,0.7333333333333333,
complex_000069,0.125,0.13333333333333333,
complex_000069,0.4444444444444444,0.5333333333333333,
complex_000069,0.3125,0.3333333333333333,
complex_000069,0.29411764705882354,0.3333333333333333,
complex_000069,0.375,0.4,
complex_000069,0.1875,0.2,
complex_000069,0.125,0.13333333333333333,
complex_000069,0.5263157894736842,0.6666666666666666,
complex_000069,0.47368421052631576,0.6,
complex_000069,0.125,0.13333333333333333,
complex_000069,0.19047619047619047,0.26666666666666666,
complex_000069,0.25,0.26666666666666666,
complex_000069,0.13333333333333333,0.13333333333333333,
complex_000069,0.29411764705882354,0.3333333333333333,
complex_000069,0.3888888888888889,0.4666666666666667,
complex_000069,0.3125,0.3333333333333333,
complex_000069,0.25,0.26666666666666666,
complex_000069,0.5,0.6666666666666666,
complex_000069,0.4166666666666667,0.6666666666666666,
complex_000069,0.5263157894736842,0.6666666666666666,
complex_000069,0.13333333333333333,0.13333333333333333,
complex_000069,0.4,0.5333333333333333,
complex_000069,0.45,0.6,
complex_000069,0.23529411764705882,0.26666666666666666,
complex_000069,0.058823529411764705,0.06666666666666667,
complex_000069,0.35294117647058826,0.4,
complex_000069,0.25,0.3333333333333333,
complex_000069,0.5625,0.6,
complex_000069,0.2,0.2,
complex_000069,0.4444444444444444,0.5333333333333333,
complex_000069,0.42105263157894735,0.5333333333333333,
complex_000069,0.13333333333333333,0.13333333333333333,
complex_000069,0.125,0.13333333333333333,
complex_000069,0.23529411764705882,0.26666666666666666,
complex_000069,0.3888888888888889,0.4666666666666667,
complex_000069,0.5263157894736842,0.6666666666666666,
complex_000069,0.29411764705882354,0.3333333333333333,
complex_000069,0.35294117647058826,0.4,
complex_000069,0.4,0.4,
complex_000069,0.47058823529411764,0.5333333333333333,
complex_000069,0.17647058823529413,0.2,
complex_000069,0.47619047619047616,0.6666666666666666,
complex_000069,0.3125,0.3333333333333333,
complex_000069,0.42105263157894735,0.5333333333333333,
complex_000069,0.5882352941176471,0.6666666666666666,
complex_000069,0.7222222222222222,0.8666666666666667,
complex_000069,0.25,0.26666666666666666,
complex_000069,0.42105263157894735,0.5333333333333333,
complex_000069,0.45,0.6,
complex_000069,0.2,0.2,
complex_000069,0.16666666666666666,0.2,
complex_000069,0.4,0.5333333333333333,
complex_000069,0.3157894736842105,0.4,
complex_000069,0.47619047619047616,0.6666666666666666,
complex_000069,0.631578947368421,0.8,
complex_000069,0.42105263157894735,0.5333333333333333,
complex_000085,0.4,0.5714285714285714,
complex_000085,0.35294117647058826,0.42857142857142855,
complex_000085,0.4,0.5714285714285714,
complex_000085,0.3125,0.35714285714285715,
complex_000085,0.2857142857142857,0.2857142857142857,
complex_000085,0.35714285714285715,0.35714285714285715,
complex_000085,0.3333333333333333,0.42857142857142855,
complex_000085,0.4444444444444444,0.5714285714285714,
complex_000085,0.3333333333333333,0.35714285714285715,
complex_000085,0.2,0.21428571428571427,
complex_000085,0.2857142857142857,0.2857142857142857,
complex_000085,0.3125,0.35714285714285715,
complex_000085,0.1875,0.21428571428571427,
complex_000085,0.35,0.5,
complex_000085,0.4,0.42857142857142855,
complex_000085,0.26666666666666666,0.2857142857142857,
complex_000085,0.2,0.21428571428571427,
complex_000085,0.2727272727272727,0.42857142857142855,
complex_000085,0.3333333333333333,0.35714285714285715,
complex_000085,0.3684210526315789,0.5,
complex_000085,0.35,0.5,
complex_000085,0.2857142857142857,0.2857142857142857,
complex_000085,0.47368421052631576,0.6428571428571429,
complex_000085,0.4444444444444444,0.5714285714285714,
complex_000085,0.25,0.5,
complex_000085,0.21428571428571427,0.21428571428571427,
complex_000085,0.375,0.6428571428571429,
complex_000085,0.35,0.5,
complex_000085,0.2631578947368421,0.35714285714285715,
complex_000085,0.4782608695652174,0.7857142857142857,
complex_000085,0.4375,0.5,
complex_000085,0.4,0.5714285714285714,
complex_000085,0.13333333333333333,0.14285714285714285,
complex_000085,0.3125,0.35714285714285715,
