pocket,displacement,tanimoto,recall
complex_000140,3.0,0.5217391304347826,0.6
complex_000141,0.5,0.875,1.0
complex_000141,0.5,0.875,1.0
complex_000141,0.5,0.875,1.0
complex_000141,0.5,1.0,1.0
complex_000141,0.5,1.0,1.0
complex_000141,0.5,1.0,1.0
complex_000141,0.5,1.0,1.0
complex_000141,0.5,1.0,1.0
complex_000141,0.5,1.0,1.0
complex_000141,0.5,1.0,1.0
complex_000141,0.5,1.0,1.0
complex_000141,0.5,1.0,1.0
complex_000141,1.0,1.0,1.0
complex_000141,1.0,0.875,1.0
complex_000141,1.0,0.875,1.0
complex_000141,1.0,0.6666666666666666,0.8571428571428571
complex_000141,1.0,0.75,0.8571428571428571
complex_000141,1.0,1.0,1.0
complex_000141,1.0,0.6666666666666666,0.8571428571428571
complex_000141,1.0,1.0,1.0
complex_000141,1.0,0.75,0.8571428571428571
complex_000141,1.0,1.0,1.0
complex_000141,1.0,0.625,0.7142857142857143
complex_000141,1.0,1.0,1.0
complex_000141,2.0,0.6666666666666666,0.8571428571428571
complex_000141,2.0,0.6666666666666666,0.8571428571428571
complex_000141,2.0,0.6666666666666666,0.8571428571428571
complex_000141,2.0,0.6666666666666666,0.8571428571428571
complex_000141,2.0,0.375,0.42857142857142855
complex_000141,2.0,0.6666666666666666,0.8571428571428571
complex_000141,2.0,0.6666666666666666,0.8571428571428571
complex_000141,2.0,0.3333333333333333,0.42857142857142855
complex_000141,2.0,0.6666666666666666,0.8571428571428571
complex_000141,2.0,0.75,0.8571428571428571
complex_000141,2.0,0.6,0.8571428571428571
complex_000141,2.0,0.6,0.8571428571428571
complex_000141,3.0,0.5454545454545454,0.8571428571428571
complex_000141,3.0,0.14285714285714285,0.14285714285714285
complex_000141,3.0,0.6666666666666666,0.8571428571428571
complex_000141,3.0,0.375,0.42857142857142855
complex_000141,3.0,0.4166666666666667,0.7142857142857143
complex_000141,3.0,0.2857142857142857,0.2857142857142857
complex_000141,3.0,0.36363636363636365,0.5714285714285714
complex_000141,3.0,0.5,0.7142857142857143
complex_000141,3.0,0.5,0.5714285714285714
complex_000141,3.0,0.2857142857142857,0.2857142857142857
complex_000141,3.0,0.4444444444444444,0.5714285714285714
complex_000141,3.0,0.2222222222222222,0.2857142857142857
complex_000145,0.5,0.9,1.0
complex_000145,0.5,0.9,1.0
complex_000145,0.5,0.9,1.0
complex_000145,0.5,0.8888888888888888,0.8888888888888888
complex_000145,0.5,0.8888888888888888,0.8888888888888888
complex_000145,0.5,1.0,1.0
complex_000145,0.5,0.7777777777777778,0.7777777777777778
complex_000145,0.5,1.0,1.0
complex_000145,0.5,0.7,0.7777777777777778
complex_000145,0.5,0.8888888888888888,0.8888888888888888
complex_000145,0.5,1.0,1.0
complex_000145,0.5,0.9,1.0
complex_000145,1.0,0.8,0.8888888888888888
complex_000145,1.0,0.8888888888888888,0.8888888888888888
complex_000145,1.0,0.9,1.0
complex_000145,1.0,0.6666666666666666,0.6666666666666666
complex_000145,1.0,0.6666666666666666,0.6666666666666666
complex_000145,1.0,0.8888888888888888,0.8888888888888888
complex_000145,1.0,0.8888888888888888,0.8888888888888888
complex_000145,1.0,0.8888888888888888,0.8888888888888888
complex_000145,1.0,0.8888888888888888,0.8888888888888888
complex_000145,1.0,0.7272727272727273,0.8888888888888888
complex_000145,1.0,0.7777777777777778,0.7777777777777778
