batch,slot,critic_lambda20,control_r0,critic_r0
292,0,0.0023873448371887207,0.001889348030090332,0.0013123750686645508
292,1,0.0002727508544921875,0.00019997358322143555,0.00023174285888671875
293,0,0.002943754196166992,0.003134310245513916,0.0039577484130859375
296,0,0.02554619312286377,0.029476702213287354,0.02468395233154297
298,0,0.0029701590538024902,0.0028083324432373047,0.0031310319900512695
300,0,0.0019001960754394531,0.0021726489067077637,0.0016692280769348145
304,0,0.0003077983856201172,0.00026875734329223633,0.00033587217330932617
312,0,0.0002669692039489746,0.00014322996139526367,0.00034099817276000977
316,0,0.00010150671005249023,9.322166442871094e-05,9.226799011230469e-05
318,0,2.4318695068359375e-05,0.0001360177993774414,5.5789947509765625e-05
320,0,0.0008487701416015625,0.0012149214744567871,0.0009496808052062988
322,0,0.0037959814071655273,0.004448056221008301,0.004673123359680176
323,0,0.00018298625946044922,0.0001131296157836914,1.728534698486328e-05
324,0,0.0023246407508850098,0.0028472542762756348,0.002444148063659668
327,0,8.118152618408203e-05,0.00010848045349121094,0.00012302398681640625
329,0,0.0004075765609741211,0.00018858909606933594,0.00012797117233276367
331,0,0.002427220344543457,0.004360616207122803,0.0038071274757385254
333,0,0.0002446174621582031,0.00014030933380126953,8.511543273925781e-05
334,0,0.0008435249328613281,0.0012388825416564941,0.0010802149772644043
334,1,0.0017293691635131836,0.0030968189239501953,0.0027344822883605957
335,0,0.000960230827331543,0.0013524293899536133,0.0013737082481384277
336,0,0.004391372203826904,0.008920073509216309,0.007300019264221191
338,0,0.00030618906021118164,0.0012392997741699219,0.0010636448860168457
340,0,0.00022017955780029297,0.0004583001136779785,0.0004602670669555664
343,0,0.001797795295715332,0.001885831356048584,0.001329660415649414
344,0,0.0009546279907226562,0.00014674663543701172,0.0003694295883178711
349,0,0.012919425964355469,0.017317533493041992,0.016528010368347168
350,0,0.0006546378135681152,0.0005522966384887695,0.00018328428268432617
351,0,0.00038492679595947266,0.0014636516571044922,0.0008442401885986328
353,0,0.012472033500671387,0.014525413513183594,0.016764521598815918
354,0,0.0033007264137268066,0.0024949312210083008,0.002740204334259033
355,0,0.002218186855316162,0.004776477813720703,0.005224466323852539
355,1,0.0010905265808105469,0.0022188425064086914,0.0017399787902832031
361,0,0.014681577682495117,0.01756042242050171,0.016955077648162842
361,1,0.0007688999176025391,0.0003178715705871582,0.0004667043685913086
367,0,0.004864096641540527,0.006142020225524902,0.006560385227203369
369,0,0.0002537965774536133,0.0009330511093139648,0.000583648681640625
370,0,0.0002957582473754883,0.0002071857452392578,0.0002829432487487793
371,0,0.0001805424690246582,0.00010561943054199219,6.16312026977539e-05
372,0,0.0005097389221191406,0.00047194957733154297,0.00047791004180908203
373,0,0.010981619358062744,0.0077991485595703125,0.0058078765869140625
377,0,0.0002765059471130371,0.0005728006362915039,0.0005868077278137207
378,0,0.0001004934310913086,0.00020486116409301758,0.00011295080184936523
382,0,0.00177079439163208,0.001654982566833496,0.0007103681564331055
382,1,5.9485435485839844e-05,4.875659942626953e-05,5.245208740234375e-05
383,0,0.0006365180015563965,0.001121819019317627,0.0003942251205444336
384,0,0.0012869834899902344,0.001369774341583252,0.0013982057571411133
385,0,0.0013219118118286133,0.0014511942863464355,0.0013550519943237305
387,0,0.0002084970474243164,0.00019156932830810547,0.0001742839813232422
390,0,0.0016186237335205078,0.0020856857299804688,0.002187073230743408
391,0,0.012645244598388672,0.015680909156799316,0.012198090553283691
394,0,0.0010180473327636719,0.0007593631744384766,0.0020838379859924316
395,0,0.00023108720779418945,0.0002480745315551758,0.0002442002296447754
404,0,0.00030922889709472656,0.00018024444580078125,0.00016438961029052734
405,0,0.03479248285293579,0.03917437791824341,0.037114739418029785
405,1,0.0002162456512451172,9.959936141967773e-05,0.00016880035400390625
406,0,0.0022258758544921875,0.002245962619781494,0.0019983649253845215
416,0,0.0007995367050170898,0.0005258321762084961,0.0010733604431152344
417,0,0.00032258033752441406,0.0006339550018310547,0.00011980533599853516
418,0,0.0012642145156860352,0.002017498016357422,0.0016889572143554688
419,0,1.800060272216797e-05,0.00011444091796875,2.2172927856445312e-05
424,0,0.0011992454528808594,0.0007790327072143555,0.0008982419967651367
426,0,0.0005266666412353516,0.0007300376892089844,0.0007574558258056641
429,0,0.0010387897491455078,0.0011078119277954102,0.0009507536888122559
430,0,0.004553556442260742,0.005200445652008057,0.0046302080154418945
431,0,0.0027952194213867188,0.0011849403381347656,0.0016819238662719727
432,0,0.00038313865661621094,0.0007406473159790039,0.0009307265281677246
435,0,0.0001240372657775879,0.00012046098709106445,0.00012677907943725586
436,0,0.00024944543838500977,5.322694778442383e-05,6.592273712158203e-05
447,0,0.0005325675010681152,0.0012867450714111328,0.0008241534233093262
449,0,0.0014469623565673828,0.0013103485107421875,0.0007274150848388672
451,0,0.0024916529655456543,0.01354527473449707,0.009103000164031982
451,1,0.0037947893142700195,0.008005738258361816,0.005823850631713867
453,0,0.0019549131393432617,0.002289414405822754,0.0024433135986328125
454,0,0.002698063850402832,0.0028703808784484863,0.003360271453857422
455,0,0.001164078712463379,0.0006091594696044922,0.0009913444519042969
456,0,0.00013720989227294922,0.0001996755599975586,0.00015735626220703125
457,0,0.000946342945098877,0.0025843381881713867,0.0027360916137695312
458,0,0.00012534856796264648,0.0006936192512512207,0.00024139881134033203
458,1,0.00019884109497070312,0.00022214651107788086,0.00021755695343017578
460,0,0.00016033649444580078,0.00048536062240600586,0.00024771690368652344
461,0,7.605552673339844e-05,6.973743438720703e-05,6.80685043334961e-05
